Пройденные курсы			
The Entrepreneurial Mindset (Предпринимательское мышление)	Babson College                             (Колледж Бабсон)                        Платформа edX	Электронный	Сертификат
Unconscious Bias: From Awareness to Action (Неосознанная предвзятость: от осознания к действию)	Catalyst                        Платформа edX	Электронный	Сертификат
Communication Skills for Dialoguing Across Difference (Навыки общения для ведения диалога на основе различий)	Catalyst                        Платформа edX	Электронный	Сертификат
Facing Racism and Emotional Tax in the Workplace (Столкновение с расизмом и эмоциональным налогом на рабочем месте)	Catalyst                        Платформа edX	Электронный	Сертификат
Understanding Gender Equity (Понимание гендерного равенства)	Catalyst                        Платформа edX	Электронный	Сертификат
Race, Gender and Workplace Equity                                             (Раса, гендер и равенство на рабочем месте)	Catalyst                        Платформа edX	Электронный	Профессиональный сертификат
The Civil War and Reconstruction - 1850-1861: A House Divided                                     (Гражданская война и реконструкция - 1850-1861 гг: Разделенный дом)	Columbia University (Колумбийский университет)   Платформа edX	Электронный	Сертификат
The Civil War and Reconstruction- 1861- 1865: A New Birth of Freedom (Гражданская война и реконструкция - 1861-1865 гг: Новое рождение свободы)	Columbia University (Колумбийский университет)   Платформа edX	Электронный	Сертификат
The Civil War and Reconstruction – 1865-1890: The Unfinished Revolution (Гражданская война и реконструкция - 1865-1890 гг: Незавершенная революция)	Columbia University (Колумбийский университет)   Платформа edX	Электронный	Сертификат
The Civil War and Reconstruction                (Гражданская война и реконструкция)	Columbia University (Колумбийский университет)   Платформа edX	Электронный	 XSeries Program Сертификат
Identifying Entrepreneurial Opportunities                    (Определение возможностей для предпринимательской деятельности)	University System of Maryland (Университетская система штата Мэриленд)                     Платформа edX	Электронный	Сертификат
Social Media: How Media Got Social                         (Социальные медиа: Как медиа стали социальными)	Curtin University                          (Университет Кертин)     Платформа edX	Электронный	Сертификат
Lean Six Sigma Black Belt Certification Part 1: Basic Improvement, Define and Measure                        (Сертификация Lean Six Sigma Black Belt Часть 1: Основные улучшения, определение и измерение)	Juran                                         Платформа edX	Электронный	Сертификат
Lean Six Sigma Black Belt Certification Part 2: Analyze, Improve and Control (Сертификация Lean Six Sigma Black Belt Часть 2: Анализ, совершенствование и контроль)	Juran                                         Платформа edX	Электронный	Сертификат
